MWPT.A1ModJulian,MWPT.EarthMJ2000Eq.X,MWPT.EarthMJ2000Eq.Y,MWPT.EarthMJ2000Eq.Z,MWPT.EarthMJ2000Eq.VX,MWPT.EarthMJ2000Eq.VY,MWPT.EarthMJ2000Eq.VZ
21545,6930,0,0,0,6.907782722,3.221151984
21545.00069,6915.045615,414.1688974,193.1296177,-0.498295187,6.892880286,3.21417945
21545.00173,6837.381324,1027.856715,479.2907533,-1.236506052,6.815484531,3.177983576
21545.00281,6686.017392,1659.147829,773.6459376,-1.995537471,6.664686303,3.107466185
21545.0039,6463.2033,2276.257766,1061.365322,-2.736941159,6.442814089,3.00371844
21545.00499,6171.65573,2869.847157,1338.08594,-3.449306712,6.152697308,2.868066487
21545.00608,5814.480407,3433.386893,1600.755911,-4.124645431,5.797581572,2.702031982
21545.00717,5395.398816,3960.926441,1846.593958,-4.755713389,5.381346099,2.507433673
21545.00827,4918.758951,4446.917888,2073.007516,-5.335805466,4.908504551,2.286387694
21545.00936,4389.512094,4886.232248,2277.600483,-5.858778142,4.384171145,2.04129157
21545.01045,3813.164172,5274.214496,2458.198993,-6.319116018,3.814001157,1.774796255
21545.01155,3195.71065,5606.738362,2612.877073,-6.711995145,3.204115383,1.489770638
21545.01265,2543.606366,5880.23391,2739.96959,-7.033311402,2.561059889,1.189282546
21545.01375,1863.677744,6091.743168,2838.098235,-7.27973963,1.891710048,0.87655369
21545.01485,1163.064067,6238.948395,2906.184744,-7.448758177,1.203205016,0.554928837
21545.01595,449.1417062,6320.201333,2943.464536,-7.53867293,0.502867422,0.227838081
21545.01705,-270.5471535,6334.544114,2949.496442,-7.54863037,-0.201870264,-0.101237767
21545.01816,-988.3726345,6281.725265,2924.170128,-7.478624233,-0.903543747,-0.428803825
21545.01926,-1696.717528,6162.204312,2867.708138,-7.329488408,-1.594754262,-0.751396796
21545.02037,-2388.033779,5977.151349,2780.665621,-7.102884883,-2.268220781,-1.065609534
21545.02148,-3054.926854,5728.441846,2663.927783,-6.801286769,-2.916857543,-1.368127408
21545.02259,-3690.258765,5418.631786,2518.698122,-6.427939206,-3.533867881,-1.655772245
21545.0237,-4287.192933,5050.946771,2346.493223,-5.986839128,-4.112780067,-1.925519204
21545.02482,-4839.296619,4629.240176,2149.123028,-5.482679689,-4.647538063,-2.17453923
21545.02593,-5340.599655,4157.961862,1928.676069,-4.920809691,-5.132549111,-2.400221355
21545.02705,-5785.68351,3642.090215,1687.487537,-4.307151488,-5.562760371,-2.600208494
21545.02816,-6169.711244,3087.107627,1428.127674,-3.648172891,-5.933678424,-2.772406611
21545.02928,-6488.497853,2498.932636,1153.369889,-2.950809452,-6.241428283,-2.915012264
21545.0304,-6738.563449,1883.844896,866.155535,-2.222380342,-6.482796486,-3.026532673
21545.03152,-6917.163784,1248.435555,569.5705657,-1.470536103,-6.655253373,-3.105796107
21545.03263,-7022.330958,599.5116348,266.8007088,-0.70315338,-6.756986502,-3.151967378
21545.03375,-7052.889118,-55.95204238,-38.89114906,0.071712894,-6.786911457,-3.16455284
21545.03487,-7008.475714,-710.8960595,-344.203976,0.84591807,-6.744689718,-3.143408621
21545.03599,-6889.544424,-1358.280341,-645.8472472,1.611340416,-6.630730711,-3.088741381
21545.03711,-6697.360043,-1991.13462,-940.5646501,2.359930544,-6.446187921,-3.001106412
21545.03823,-6433.985153,-2602.646428,-1225.17527,3.083805594,-6.192948939,-2.881402796
21545.03935,-6102.262,-3186.228079,-1496.604966,3.775319384,-5.873622608,-2.730867227
21545.04047,-5705.779472,-3735.598641,-1751.924706,4.427151472,-5.49151337,-2.551061813
21545.04158,-5248.825305,-4244.861228,-1988.386671,5.032392268,-5.050582693,-2.343855814
21545.0427,-4736.343415,-4708.556972,-2203.449492,5.584602313,-4.555416424,-2.111410189
21545.04382,-4173.887268,-5121.720533,-2394.804182,6.077875315,-4.011189074,-1.856160676
21545.04493,-3567.539322,-5479.950559,-2560.406943,6.506921229,-3.423595646,-1.580785653
21545.04604,-2923.846979,-5779.449267,-2698.497597,6.867114866,-2.79879932,-1.288181458
21545.04716,-2249.764519,-6017.056675,-2807.615519,7.154540227,-2.143384603,-0.981440257
21545.04827,-1552.557668,-6190.293642,-2886.619562,7.366047634,-1.464273428,-0.663810554
21545.04938,-839.7241316,-6297.383875,-2934.698195,7.499287728,-0.768655522,-0.338664417
21545.05048,-118.9072752,-6337.269392,-2951.376535,7.552739395,-0.063910577,-0.009460869
21545.05159,602.1664252,-6309.618323,-2936.519864,7.525729743,0.642448108,0.320280681
21545.05269,1315.803504,-6214.827245,-2890.334413,7.418448993,1.342884452,0.647032426
21545.0538,2014.40827,-6054.011448,-2813.362638,7.231951096,2.029902491,0.967287748
21545.0549,2690.567874,-5828.989821,-2706.475904,6.968148126,2.696131486,1.277601148
21545.056,3337.145634,-5542.254672,-2570.860098,6.629786192,3.334421651,1.57463308
21545.0571,3947.332519,-5196.947516,-2408.00412,6.22042709,3.937900931,1.855176612
21545.05819,4514.726709,-4796.820195,-2219.681432,5.744411029,4.500061494,2.11619789
21545.05929,5033.410945,-4346.179942,-2007.924103,5.206797956,5.014845901,2.35487638
21545.06038,5497.987861,-3849.855804,-1775.006929,4.613331723,5.476692932,2.568626325
21545.06147,5903.644189,-3313.138261,-1523.418943,3.970369559,5.880612767,2.755131783
21545.06257,6246.19396,-2741.72467,-1255.837692,3.284815496,6.222241553,2.912372032
21545.06366,6522.124316,-2141.644001,-975.0938438,2.564026033,6.497898179,3.038647905
21545.06475,6728.612043,-1519.219856,-684.1537202,1.815759054,6.704610867,3.132594136
21545.06584,6863.559421,-880.9880593,-386.080583,1.048065903,6.840161523,3.193199794
21545.06693,6925.609119,-233.628952,-84.00283221,0.26919916,6.903107259,3.219818091
21545.06802,6914.152528,416.0841749,218.9102456,-0.51246142,6.892793092,3.212172093
21545.06911,6829.338304,1061.354019,519.4808371,-1.28850459,6.80936243,3.170359309
21545.07019,6672.067424,1695.445951,814.5631898,-2.050604699,6.653751651,3.094848736
21545.07128,6443.983342,2311.737233,1101.066707,-2.790593126,6.427677316,2.986474607
21545.07237,6147.458685,2903.781418,1375.986112,-3.50054689,6.133617729,2.846427405
21545.07347,5785.571731,3465.378067,1636.434037,-4.172881998,5.7747824,2.676239181
21545.07456,5362.077523,3990.633912,1879.669612,-4.80043448,5.355074562,2.477765648
21545.07565,4881.367294,4474.02719,2103.128458,-5.37654282,4.879040954,2.253162294
21545.07674,4348.438752,4910.451232,2304.443047,-5.895103061,4.351831658,2.00486527
21545.07784,3768.834297,5295.282408,2481.474281,-6.350650285,3.779127943,1.735557216
21545.07893,3148.599579,5624.418596,2632.329378,-6.738402281,3.167090549,1.448142756
21545.08003,2494.209267,5894.332824,2755.386697,-7.054318631,2.522276299,1.14570913
21545.08113,1812.526136,6102.101654,2849.308886,-7.295127624,1.851588793,0.831502857
21545.08223,1110.699009,6245.451411,2913.064083,-7.458371948,1.162170434,0.508878913
21545.08333,396.1233331,6322.774279,2945.933307,-7.542417494,0.461358029,0.181279754
21545.08443,-323.6581985,6333.155359,2947.522677,-7.546473556,-0.24341843,-0.147812254
21545.08554,-1041.017959,6276.384314,2917.768584,-7.470594493,-0.944698313,-0.474904257
21545.08665,-1748.333927,6152.963073,2856.940874,-7.315676358,-1.635078261,-0.796534149
21545.08775,-2438.070504,5964.103589,2765.641408,-7.083442288,-2.307288303,-1.109306253
21545.08886,-3102.849301,5711.722411,2644.801168,-6.776425209,-2.954256152,-1.409921444
21545.08997,-3735.545146,5398.42024,2495.670215,-6.397933799,-3.569194282,-1.695217838
21545.09109,-4329.366016,5027.452591,2319.80355,-5.952009862,-4.145669802,-1.96220337
21545.0922,-4877.908391,4602.708496,2119.050823,-5.44339746,-4.677649396,-2.20807679
21545.09331,-5375.241707,4128.666862,1895.535467,-4.877487375,-5.15957187,-2.430261401
21545.09443,-5815.978945,3610.345568,1651.630492,-4.260255329,-5.586406894,-2.62643231
21545.09592,-6306.773688,2861.096276,1299.764327,-3.370108828,-6.06160253,-2.843742075
21545.09592,-6306.773688,2861.096276,1299.764327,-3.370108828,-6.06160253,-2.843742075
21545.09661,-6495.901162,2491.77837,1126.582661,-2.932033113,-6.244762495,-2.926990715
21545.09767,-6733.008201,1908.799192,853.5176881,-2.241230396,-6.474556718,-3.030672224
21545.09878,-6912.597302,1277.87144,558.3859526,-1.494374414,-6.648969978,-3.108161217
21545.0999,-7020.037976,629.8607412,255.663617,-0.727887085,-6.753920052,-3.153069847
21545.10102,-7052.995826,-25.40206679,-50.04452283,0.04678986,-6.787191266,-3.164423116
21545.10214,-7010.989353,-680.527274,-355.2815751,0.82111979,-6.748321327,-3.142050883
21545.10326,-6894.438404,-1328.430636,-656.7379661,1.586929815,-6.637678663,-3.086170324
21545.10438,-6704.580316,-1962.131765,-951.1571753,2.336161843,-6.456382014,-2.997349674
21545.1055,-6443.454055,-2574.802062,-1235.358183,3.06091936,-6.206287872,-2.876502085
21545.10661,-6113.874694,-3159.846944,-1506.273846,3.753555467,-5.88997041,-2.724875719
21545.10773,-5719.403742,-3710.972511,-1760.981993,4.406743627,-5.510698976,-2.544042791
21545.10885,-5264.311009,-4222.254825,-1996.737677,5.013552933,-5.072408811,-2.335885394
21545.10997,-4753.522744,-4688.210736,-2211.006059,5.567526975,-4.579659659,-2.102575632
21545.11108,-4192.561014,-5103.859783,-2401.49107,6.062754222,-4.037586654,-1.846552171
21545.1122,-3587.507218,-5464.760718,-2566.152357,6.493910329,-3.45187497,-1.570508033
21545.11331,-2944.890657,-5767.089967,-2703.241336,6.856352803,-2.828662014,-1.27734423
21545.11442,-2271.666904,-6007.652485,-2811.306222,7.146137297,-2.174526086,-0.970164214
21545.11553,-1575.080811,-6183.942786,-2889.219752,7.360096246,-1.496362387,-0.652215339
21545.11664,-862.6282995,-6294.150415,-2936.181568,7.495852951,-0.801353579,-0.326874849
21545.11775,-141.9520029,-6337.184318,-2951.728986,7.551860159,-0.096874536,0.00239502
21545.11886,579.2223363,-6312.680042,-2935.739992,7.527419307,0.609565071,0.332074175
21545.11996,1293.206596,-6221.000569,-2888.432882,7.422693496,1.310436208,0.65863884
21545.12106,1992.403259,-6063.22662,-2810.361392,7.238707878,1.998241925,0.978585792
21545.12216,2669.396863,-5841.141552,-2702.407038,6.977343815,2.665608752,1.288475202
21545.12326,3317.028304,-5557.209755,-2565.768522,6.641324625,3.305363613,1.584966659
21545.12436,3928.47951,-5214.542334,-2401.945104,6.234185098,3.910623196,1.864860901
21545.12546,4497.342987,-4816.856673,-2212.717204,5.760232048,4.474870473,2.12513547
21545.12655,5017.666885,-4368.447204,-2000.132372,5.224516202,4.992008602,2.362969878
21545.12765,5484.044416,-3874.114501,-1766.471513,4.632751997,5.456460149,2.575791565
21545.12874,5891.640037,-3339.132255,-1514.233172,3.991279862,5.863204425,2.761293231
21545.12983,6236.248905,-2769.178693,-1246.10102,3.306983222,6.20784817,2.917465416
21545.13092,6514.332003,-2170.279134,-964.9166642,2.587215932,6.486671816,3.042617719
