target.A1ModJulian,target.EarthMJ2000Eq.X,target.EarthMJ2000Eq.Y,target.EarthMJ2000Eq.Z,target.EarthMJ2000Eq.VX,target.EarthMJ2000Eq.VY,target.EarthMJ2000Eq.VZ
21545,8910,0,0,0,6.092091731,2.840789028
21545.00069,8900.956548,365.4018567,170.3895507,-0.301395928,6.085909422,2.83790012
21545.00215,8823.789449,1125.771271,524.9525767,-0.928497147,6.033155884,2.813257179
21545.00372,8651.977209,1938.231175,903.7962919,-1.59828903,5.915729892,2.758406982
21545.00531,8387.393843,2737.789273,1276.607557,-2.256968982,5.734982958,2.673982007
21545.0069,8033.526053,3509.449123,1636.387133,-2.892002018,5.493402572,2.561145695
21545.00849,7594.217302,4244.394597,1979.018182,-3.495985631,5.193747744,2.42118878
21545.01008,7074.059574,4934.834151,2300.862234,-4.062404644,4.839309531,2.255650953
21545.01167,6478.450687,5573.511161,2598.530985,-4.585233038,4.433941633,2.066335098
21545.01326,5813.572132,6153.696111,2868.882755,-5.058931,3.982035768,1.855295714
21545.01486,5086.33339,6669.250815,3109.052543,-5.478498916,3.488473739,1.624816455
21545.01646,4304.310164,7114.691017,3316.481292,-5.83952761,2.958575407,1.377385736
21545.01806,3475.652538,7485.25538,3488.948124,-6.138251277,2.398026777,1.115663057
21545.01966,2609.029169,7776.943593,3624.588161,-6.371573102,1.812833459,0.842457166
21545.02127,1713.534882,7986.56931,3721.91724,-6.537100921,1.209250616,0.560693245
21545.02287,798.5778658,8111.802072,3779.851457,-6.633172108,0.593700891,0.273374485
21545.02448,-126.2014898,8151.189218,3797.717382,-6.658861138,-0.027284392,-0.016445475
21545.02609,-1051.009411,8104.178308,3775.262493,-6.613986902,-0.647120519,-0.30568846
21545.02771,-1966.043466,7971.129757,3712.660993,-6.499111337,-1.259266766,-0.59129732
21545.02932,-2861.554252,7753.320243,3610.515351,-6.315531334,-1.857265963,-0.870254488
21545.03094,-3727.978228,7452.933367,3469.85184,-6.065260433,-2.434829772,-1.139621871
21545.03256,-4556.026249,7073.045345,3292.11377,-5.751007886,-2.985892487,-1.396566039
21545.03418,-5336.812807,6617.583886,3079.142168,-5.37613707,-3.504690418,-1.638395327
21545.03581,-6061.91621,6091.307295,2833.165921,-4.944642532,-3.985794066,-1.862574921
21545.03744,-6723.491189,5499.752434,2556.777352,-4.461103267,-4.424174328,-2.066757793
21545.03907,-7314.365419,4849.170201,2252.901964,-3.930628067,-4.8152574,-2.248810346
21545.0407,-7828.116411,4146.459677,1924.767567,-3.358802019,-5.154966522,-2.406831911
21545.04233,-8259.133327,3399.112029,1575.877959,-2.75164301,-5.439753992,-2.539169705
21545.04396,-8602.695928,2615.11652,1209.96891,-2.115529394,-5.666645086,-2.644439311
21545.04559,-8855.029341,1802.869343,830.9654723,-1.457131859,-5.833266894,-2.721538102
21545.04723,-9013.343047,971.0974715,442.9463053,-0.783359026,-5.937867944,-2.769654386
21545.04886,-9075.87087,128.7324716,50.08465626,-0.101263751,-5.97933995,-2.788277481
21545.0505,-9041.887162,-715.1293437,-343.3703759,0.581979735,-5.957225474,-2.777201283
21545.05213,-8911.722821,-1551.405786,-733.177408,1.259210746,-5.871727286,-2.7365285
21545.05377,-8686.759225,-2371.074885,-1115.124401,1.923309456,-5.723704948,-2.666669025
21545.0554,-8369.414673,-3165.296209,-1485.085359,2.56728544,-5.514668286,-2.568336781
21545.05703,-7963.113972,-3925.513123,-1839.068117,3.184351531,-5.246761457,-2.442542179
21545.05867,-7472.267101,-4643.519992,-2173.245789,3.767970325,-4.922754568,-2.290588132
21545.0603,-6902.187003,-5311.608099,-2484.024836,4.31196607,-4.545996471,-2.114047841
21545.06193,-6259.070766,-5922.590587,-2768.056799,4.810540044,-4.120410436,-1.914762724
21545.06356,-5549.88071,-6469.93866,-3022.301773,5.258378427,-3.650424429,-1.69480967
21545.06519,-4782.318718,-6947.801996,-3244.037994,5.650667957,-3.140963408,-1.456497373
21545.06681,-3964.68224,-7351.116603,-3430.91203,5.983185252,-2.59736323,-1.202325949
21545.06844,-3105.821327,-7675.624726,-3580.948091,6.252316347,-2.02535112,-0.934977725
21545.07006,-2215.011336,-7917.938583,-3692.577635,6.455114284,-1.430969395,-0.657281463
21545.07168,-1301.814389,-8075.576183,-3764.655916,6.589335992,-0.820490301,-0.372172473
21545.07329,-376.0668389,-8146.964031,-3796.463274,6.653452935,-0.200413591,-0.082691365
21545.07491,552.3290761,-8131.470715,-3787.7205,6.646689371,0.422668493,0.208079126
21545.07652,1473.463269,-8029.396858,-3738.584065,6.569024945,1.042107809,0.497031321
21545.07813,2377.528401,-7841.969823,-3649.643474,6.421201852,1.651274085,0.781067157
21545.07974,3254.935524,-7571.323922,-3521.911819,6.204720121,2.243634314,1.057135332
21545.08134,4096.403744,-7220.475003,-3356.813746,5.92182758,2.812816789,1.322261287
21545.08294,4893.074767,-6793.27641,-3156.164671,5.575493674,3.352693957,1.573585939
21545.08454,5636.592214,-6294.374968,-2922.150049,5.169381613,3.857443286,1.808394135
21545.08614,6319.194221,-5729.14995,-2657.296671,4.707804764,4.321618607,2.024147976
21545.08774,6933.764807,-5103.673335,-2364.45395,4.195698201,4.740194533,2.218507582
21545.08933,7473.934417,-4424.619299,-2046.751427,3.638546363,5.108645002,2.389367707
21545.09093,7934.130499,-3699.194084,-1707.565862,3.042324716,5.422988088,2.534878613
21545.09252,8309.617906,-2935.077232,-1350.493631,2.413448311,5.67982351,2.653463549
21545.09411,8596.55816,-2140.314613,-979.3006053,1.75867835,5.876382289,2.743841798
21545.0957,8792.02853,-1323.26648,-597.8977536,1.085071901,6.010547714,2.805038413
21545.09729,8894.058153,-492.4997521,-210.2907056,0.399883948,6.08088639,2.836398541
21545.09887,8901.640118,343.2911104,179.4573125,-0.289508329,6.086660945,2.837593224
21545.10046,8814.738077,1175.372645,567.2669202,-0.975689816,6.027836891,2.808622435
21545.10205,8634.287216,1995.043908,949.0760783,-1.651277954,5.905083414,2.749815293
21545.10364,8362.179958,2793.75007,1320.893171,-2.309027618,5.719761566,2.661824316
21545.10523,8001.2551,3563.133415,1678.820905,-2.94188358,5.473912686,2.545619869
21545.10682,7555.258008,4295.151652,2019.11152,-3.54308711,5.170225246,2.402474416
21545.10841,7028.813577,4982.132027,2338.192095,-4.106227983,4.81200882,2.233950203
21545.11001,6427.383007,5616.853233,2632.702768,-4.625317366,4.403155842,2.041881176
21545.1116,5757.207667,6192.624486,2899.533592,-5.094856053,3.948093791,1.828350434
21545.1132,5025.264154,6703.343378,3135.851514,-5.509882964,3.451744632,1.595671101
21545.11479,4239.170642,7143.581539,3339.140187,-5.86604383,2.919451316,1.346351767
21545.1164,3407.129253,7508.627057,3507.219696,-6.159622239,2.356929299,1.083073688
21545.118,2537.844595,7794.538725,3638.271725,-6.387578187,1.770202846,0.808660854
21545.1196,1640.421868,7998.194793,3730.86208,-6.547580101,1.165528886,0.526044272
21545.12121,724.3153049,8117.320554,3783.953481,-6.6380184,0.549356407,0.238242864
21545.12282,-200.8205077,8150.529709,3796.924484,-6.658028501,-0.071777722,-0.05168532
21545.12443,-1125.188205,8097.337072,3769.575269,-6.607490357,-0.691289568,-0.34066226
21545.12604,-2038.983598,7958.171035,3702.133093,-6.487027008,-1.302639545,-0.625632732
21545.12766,-2932.476093,7734.374284,3595.252389,-6.2979942,-1.899384487,-0.903588687
21545.12928,-3796.126514,7428.193585,3450.009647,-6.042461472,-2.475252817,-1.171604377
21545.1309,-4620.681195,7042.763058,3267.895315,-5.723189218,-3.024202057,-1.42686323
21545.13252,-5397.26821,6582.081298,3050.802796,-5.343602125,-3.540476261,-1.666684667
21545.13415,-6117.521827,6050.958811,2801.003515,-4.907740024,-4.018680941,-1.888559009
21545.13577,-6773.652818,5454.980911,2521.129331,-4.420223643,-4.453821085,-2.090165197
21545.1374,-7358.547693,4800.442781,2214.141864,-3.886199613,-4.841357895,-2.269397179
21545.13889,-7824.468192,4158.304252,1913.282072,-3.363364827,-5.149860132,-2.41176174
