Time Step,Distance (m),Received Power (W)
0,1980.0,1.453758948036297e-07
1,1986.6397682304487,1.44405765031332e-07
2,1989.3439877152732,1.4401343522908858e-07
3,1989.9308105553941,1.4392850975154058e-07
4,1990.4395990464316,1.4385493825502296e-07
5,1991.1392157065284,1.4375386482994317e-07
6,1992.0540296472059,1.436218625435599e-07
7,1993.1778231323442,1.434599544479205e-07
8,1994.4988419613935,1.4326998137120808e-07
9,1996.0025954444366,1.430541884873729e-07
10,1997.672779145625,1.4281508336728488e-07
11,1999.4931830734472,1.425551547081106e-07
12,2001.4426872367846,1.4227757841833907e-07
13,2003.5008417440702,1.419854110036487e-07
14,2005.6461516784534,1.4168182823497244e-07
15,2007.8550543406277,1.4137026269869045e-07
16,2010.1029494955346,1.410542511838526e-07
17,2012.3659392544794,1.4073718673712689e-07
18,2014.6198285584003,1.4042245877148195e-07
19,2016.841132252216,1.401133128005732e-07
20,2019.0053847613979,1.3981308768652765e-07
21,2021.0911224202628,1.3952466630020002e-07
22,2023.0739498596963,1.3925130233146955e-07
23,2024.9329875879291,1.3899573378289645e-07
24,2026.6480097992367,1.3876058697261182e-07
25,2028.2021461790691,1.3854801422359772e-07
26,2029.577701663711,1.3836027477681227e-07
27,2030.7599539542277,1.3819922261845927e-07
28,2031.7371198457663,1.380663204919041e-07
29,2032.4977341880035,1.3796300369893102e-07
30,2033.035278529747,1.3789005717557497e-07
31,2033.3421336709087,1.3784844186691637e-07
32,2033.4160254216806,1.378384235750246e-07
33,2033.2558775976256,1.3786013790344853e-07
34,2032.8636985653538,1.379133348498928e-07
35,2032.2439463092921,1.3799746366064634e-07
36,2031.4018430067501,1.381118991249237e-07
37,2030.347551034551,1.382553701988521e-07
38,2029.091171388388,1.384266340750189e-07
39,2027.6482966607484,1.3862371298365153e-07
40,2026.0314156274083,1.3884505949152872e-07
41,2024.2599230188932,1.3908818105782692e-07
42,2022.3518875944878,1.393507568935601e-07
43,2020.3278212303132,1.3963011400129422e-07
44,2018.2096818327434,1.3992335533124938e-07
45,2016.0171400218494,1.4022787122650888e-07
46,2013.776880406906,1.405400424295807e-07
